EXPRESSION,REPLACEMENT,FORBIDDEN PATTERNS,ALLOWABLE PATTERNS
^ come/finish on/in ^,hurry up,,
^ like/want/need you to ^,,,
^ come/finish all over ^,,,
^ put you/my ^,,,
^ do me/you/her/him/them ^,,,
^ put ^ in/on/between ^ you ^,,,
^ do/doing it ^,,,
^ feel [object_pronoun] ^,,,
^ make out ^,,,
^ get together ^,,,
^ hook up ^,,,
^ into/inside/in you/me/your ^,,,
^ you ^ come ^ on/in ^,,,
^ sea/see men ^,,,
^ down on ^,,,
^ grab you/your/my/me ^,,,
^ eat ^ you ^ out ^,,,
^ giv ^ you ^ head ^,,,
^ eat out you ^,,,
^ touch/hold/place/feel you/your/my/me ^,,,
^ place/put/stick/insert ^ in ^ you ^,,,
^ pick me/you ^ up ^,,,
^ piece of ^ me/you/this ^,,,
^ back ^ side ^,,,
^ [object_pronoun] are ^ hot ^,,,
^ mom/sister/grandma/friend is/are hot ^,,,
^ stop being ^,,,
^ do not be ^,,,
^ [object_pronoun] is/are ^,,,
^ come for [object_pronoun] ^,,,
^ why are you so/such ^,,,
^ when I ^ done/complete ^ [object_pronoun] ^,,,
^ take/have ^ from behind ^,,,
^ take [object_pronoun] on/from/now/here ^,,,
^ pleas ^ you/me/my ^,,,
^ afternoon delight ^,,,
^ get/getting down/laid/lucky ^ ,,,
^ go/went all the way ^,,,
^ get/getting it on ^,,,
^ beat ^ it/off ^,,,
^ get/getting busy ^,,,
^ give it to [object_pronoun] ^,,,
^ hav ^ a go ^,,,
^ put out ^,,,
^ facts of life ^,,,
^ birds and ^ bees ^,,,
^ one night stand ^,,,
^ how old are/is you/he/she/they ^,,,
^ I hope/wish/want [object_pronoun] ^,,,
^ pack ^ heat ^,,,
^ get it up ^,,,
^ use [object_pronoun] ^,,,
^ fool/mess around ^,,,
^ push/shove/throw ^ [object_pronoun] ^ down/around ^,,,
^ where/what ^ [object_pronoun] ^ going/doing ^ later/tonight/after ^,,,
^ on top ^ you/me/my ^,,,
^ make/get ^ me/you ^ wet ^,,,
^ step ^ on/over [object_pronoun] ^,,,
^ keep your/quiet ^,,,
^ shut [object_pronoun] ^,,,
^ what I/she ^ say/said ^,,,
^ or else I ^ [object_pronoun] ^,,,
^ [object_pronoun] better/best ^,,,
^ if you know what is good for [object_pronoun] ^,,,
^ no/friend ^ like/care/love/want/see ^ [object_pronoun] ^,,,
^ no ^ friend ^,,,
^ push/pull [object_pronoun] ^,,,
^ [object_pronoun] can not get/do ^ right/prop/correct ^,,,
^ [object_pronoun] ^ nothing ^,,,
^ when/once ^ through/done/finish/complete ^ [object_pronoun] ^,,,
^ [object_pronoun] look/sound like ^,,,
^ i say so ^,,,
^ pull my/your ^,,,
^ [object_pronoun] ^ belong ^,,,
^ open [object_pronoun] up ^,,,
^ not smart/cool ^ ,,,
^ take/bring/pull/tear [object_pronoun] ^ down/out ^,,,
^ mess [object_pronoun] up ^,,,
^ get/climb on [object_pronoun] ^ ,,,
^ do do ^,,,
^ jump ^ [object_pronoun] ^,,,
^ better ^ [object_pronoun] ^,,,
^ get you ^,,,
^ put an end ^,,,
^ end [object_pronoun] ^,,,
^ special/right/magic spot/place/button ^,,,
do ([object_pronoun]|it|(the_deed)|(away_with_([object_pronoun]|[possessive_pronoun]))),,,
(polish*_[object_pronoun]_off)|(rub*_[object_pronoun]_(off|out)),,,
ass,,,
butt,,,
but,,,
dick,,,
cunt,,,
crap,,,
kill,,,
screw,,,
slam,,,
box,,,
zero,,,
bed,,,
bone,,,
nasty,,,
pipe,,,
bang,,,
ride,,,
tap,,,
buts,,,
